building,geometry
yes,"POLYGON ((73.2656329 33.6524168, 73.2658187 33.652457, 73.2658398 33.6523892, 73.2656541 33.652349, 73.2656329 33.6524168))"
yes,"POLYGON ((73.26571 33.652333, 73.2657907 33.6523506, 73.2658135 33.652278, 73.2657328 33.6522605, 73.26571 33.652333))"
yes,"POLYGON ((73.2656923 33.6521478, 73.2657442 33.6519874, 73.265665 33.6519697, 73.2655984 33.6521753, 73.265654 33.6521878, 73.2656466 33.6522106, 73.2658443 33.652255, 73.2658664 33.6521869, 73.2656923 33.6521478))"
yes,"POLYGON ((73.2653866 33.6522001, 73.2655453 33.6522357, 73.2655643 33.6521771, 73.2654056 33.6521414, 73.2653866 33.6522001))"
yes,"POLYGON ((73.265592 33.6524048, 73.2656357 33.6522701, 73.2655674 33.6522548, 73.2655238 33.6523895, 73.265592 33.6524048))"
yes,"POLYGON ((73.2607332 33.6538655, 73.2607448 33.6537673, 73.260674 33.6537616, 73.2607002 33.6535387, 73.2610129 33.6535641, 73.2610474 33.653609, 73.2612746 33.6536275, 73.2613407 33.6535946, 73.2613695 33.653619, 73.2615026 33.6536299, 73.2615218 33.6535997, 73.2616328 33.6536088, 73.2616297 33.6536355, 73.2616522 33.6536373, 73.2616265 33.6538563, 73.2615536 33.6538504, 73.2615441 33.6539315, 73.2607332 33.6538655))"
yes,"POLYGON ((73.2614269 33.6545499, 73.2614407 33.6544276, 73.2613476 33.6544203, 73.2613338 33.6545426, 73.2614269 33.6545499))"
yes,"POLYGON ((73.2612576 33.6544356, 73.2612347 33.6544363, 73.2612145 33.6544452, 73.2612009 33.6544605, 73.2611966 33.6544793, 73.2612026 33.6544977, 73.2612175 33.6545121, 73.2612385 33.6545197, 73.2612614 33.654519, 73.2612816 33.6545101, 73.2612952 33.6544948, 73.2612995 33.6544761, 73.2612936 33.6544577, 73.2612786 33.6544432, 73.2612576 33.6544356))"
yes,"POLYGON ((73.2719395 33.6553287, 73.2719397 33.6551223, 73.2718375 33.6551222, 73.2718373 33.6553286, 73.2719395 33.6553287))"
yes,"POLYGON ((73.2719448 33.6555799, 73.2719451 33.655369, 73.2718402 33.6553689, 73.27184 33.6555798, 73.2719448 33.6555799))"
yes,"POLYGON ((73.2719609 33.6558177, 73.2719611 33.6556246, 73.2718603 33.6556245, 73.2718601 33.6558176, 73.2719609 33.6558177))"
yes,"POLYGON ((73.2719716 33.6560677, 73.2719719 33.6558702, 73.2718563 33.6558701, 73.2718561 33.6560676, 73.2719716 33.6560677))"
yes,"POLYGON ((73.271977 33.6563155, 73.2719772 33.6561113, 73.2718657 33.6561113, 73.2718655 33.6563155, 73.271977 33.6563155))"
yes,"POLYGON ((73.2713668 33.655341, 73.2714806 33.6553411, 73.2714808 33.6551289, 73.271367 33.6551288, 73.2713668 33.655341))"
yes,"POLYGON ((73.2713735 33.6555888, 73.2714832 33.6555889, 73.2714835 33.6553801, 73.2713737 33.65538, 73.2713735 33.6555888))"
yes,"POLYGON ((73.2713936 33.6558344, 73.2715074 33.6558345, 73.2715076 33.6556312, 73.2713939 33.6556312, 73.2713936 33.6558344))"
yes,"POLYGON ((73.2714218 33.6560901, 73.2715261 33.6560901, 73.2715264 33.6558657, 73.271422 33.6558656, 73.2714218 33.6560901))"
yes,"POLYGON ((73.2714264 33.6563287, 73.271527 33.6563287, 73.2715272 33.6561378, 73.2714266 33.6561378, 73.2714264 33.6563287))"
yes,"POLYGON ((73.2706496 33.6550231, 73.2707408 33.655099, 73.2709504 33.6549246, 73.2708591 33.6548487, 73.2706496 33.6550231))"
yes,"POLYGON ((73.2704941 33.655099, 73.2705828 33.655022, 73.27038 33.6548603, 73.2702914 33.6549373, 73.2704941 33.655099))"
yes,"POLYGON ((72.9542727 33.6231256, 72.9544196 33.6231329, 72.954445 33.6227766, 72.9542982 33.6227694, 72.9542727 33.6231256))"
yes,"POLYGON ((72.9537247 33.6231088, 72.9537114 33.622792, 72.9538966 33.6227866, 72.9538942 33.6227303, 72.9539552 33.6227286, 72.9539571 33.6227746, 72.9539968 33.6227735, 72.9540106 33.6231005, 72.9537247 33.6231088))"
yes,"POLYGON ((72.9543448 33.6227358, 72.954602 33.6227396, 72.9546077 33.6224738, 72.9545115 33.6224724, 72.9545122 33.6224371, 72.9543513 33.6224347, 72.9543448 33.6227358))"
yes,"POLYGON ((72.9536042 33.6220493, 72.9535519 33.6219511, 72.9534285 33.6219946, 72.9533708 33.6218729, 72.9535063 33.6218282, 72.9538885 33.6217523, 72.9539542 33.6219734, 72.9536042 33.6220493))"
yes,"POLYGON ((73.0761646 33.6674072, 73.0764342 33.6673592, 73.0763497 33.6670355, 73.0760775 33.6670835, 73.0761016 33.6671906, 73.0761646 33.6674072))"
yes,"POLYGON ((73.0991396 33.6816614, 73.0989653 33.6816882, 73.0986434 33.6815721, 73.0985924 33.6814873, 73.0986139 33.6813266, 73.0987212 33.6812396, 73.098799 33.6812083, 73.0990538 33.6812105, 73.0993113 33.6814003, 73.0992845 33.6815319, 73.0992362 33.6816369, 73.0991396 33.6816614))"
yes,"POLYGON ((73.0923648 33.6759456, 73.094017 33.6778027, 73.0948109 33.6773206, 73.0938024 33.6752492, 73.0932875 33.6741956, 73.0926866 33.6745885, 73.091721 33.6751242, 73.0923648 33.6759456))"
yes,"POLYGON ((73.0048325 33.6386377, 73.0047753 33.6386335, 73.0047709 33.6386748, 73.0048281 33.638679, 73.0048325 33.6386377))"
yes,"POLYGON ((72.8887636 33.6690889, 72.888817 33.6689641, 72.8887509 33.6689445, 72.8886975 33.6690693, 72.8887636 33.6690889))"
yes,"POLYGON ((73.1650148 33.603257, 73.1650077 33.6030862, 73.1651871 33.6030811, 73.1653413 33.6032356, 73.1653437 33.603286, 73.1653425 33.603286, 73.1653397 33.6032354, 73.1651669 33.6032372, 73.1651676 33.6032526, 73.1650148 33.603257))"
yes,"POLYGON ((73.1636484 33.6034635, 73.163688 33.6035028, 73.1636315 33.6035091, 73.1636484 33.6034635))"
offices,"POLYGON ((73.1639289 33.6040341, 73.1639201 33.6037769, 73.163858 33.6037784, 73.1638571 33.6037509, 73.1638968 33.6037169, 73.1638921 33.6035106, 73.1638452 33.6035113, 73.1638444 33.6034754, 73.1638938 33.6034746, 73.1638871 33.6031827, 73.1640733 33.6031797, 73.1640772 33.6033488, 73.1641239 33.6033481, 73.1641217 33.6032532, 73.1643114 33.6032501, 73.1643165 33.6034712, 73.1643629 33.6034705, 73.1643592 33.6033137, 73.1647392 33.6033074, 73.1647443 33.6035251, 73.1647729 33.6035246, 73.1647703 33.6034183, 73.1649749 33.6034149, 73.1649777 33.6035303, 73.1653406 33.6035242, 73.1652351 33.6036575, 73.1651308 33.6036626, 73.1651326 33.6036886, 73.1650279 33.6036937, 73.1650299 33.6037213, 73.1654275 33.603702, 73.1651804 33.6039886, 73.165103 33.6039905, 73.1651042 33.6040218, 73.1649896 33.6040247, 73.1649981 33.6042573, 73.1648304 33.6042615, 73.1648244 33.6040983, 73.1647581 33.6041, 73.1647615 33.6041926, 73.164591 33.6041968, 73.164583 33.6039722, 73.1645133 33.6039739, 73.1645163 33.6040571, 73.1641669 33.6040656, 73.1641627 33.6039445, 73.1640985 33.6039461, 73.1641014 33.60403, 73.1639289 33.6040341))"
train_station,"POLYGON ((73.2009108 33.5514969, 73.2011065 33.5514093, 73.2011483 33.5514745, 73.2010487 33.5515191, 73.2010586 33.5515344, 73.2009636 33.5515764, 73.2009301 33.5515251, 73.2009108 33.5514969))"
train_station,"POLYGON ((73.2007839 33.5515931, 73.2009301 33.5515251, 73.2009636 33.5515764, 73.2009788 33.5515996, 73.2009422 33.551617, 73.2008305 33.5516671, 73.2007839 33.5515931))"
yes,"POLYGON ((73.0249676 33.7138209, 73.0250792 33.7138798, 73.025165 33.7138958, 73.0252294 33.7139012, 73.0252744 33.7138833, 73.0252856 33.7138647, 73.0253178 33.7138549, 73.0253349 33.7137977, 73.0253424 33.7137772, 73.0253381 33.7137246, 73.0253135 33.7137085, 73.0253092 33.7136871, 73.0253328 33.7136782, 73.0253156 33.7136094, 73.0252266 33.7135139, 73.0251718 33.7134925, 73.0250807 33.7134979, 73.0250367 33.7134872, 73.0249905 33.7135077, 73.0250206 33.7135345, 73.0249498 33.7136219, 73.0249154 33.7137005, 73.024939 33.7137754, 73.0249676 33.7138209))"
yes,"POLYGON ((73.0227944 33.7135402, 73.0230933 33.7136583, 73.0232577 33.7133413, 73.0229476 33.7132574, 73.0227944 33.7135402))"
yes,"POLYGON ((72.9883895 33.6449352, 72.9884083 33.6449268, 72.9884197 33.6449486, 72.9884311 33.6449408, 72.9884545 33.6449503, 72.988474 33.6449475, 72.9884934 33.6449397, 72.9885082 33.6449291, 72.9885155 33.6449185, 72.9885229 33.6449023, 72.9885202 33.644885, 72.9885155 33.6448755, 72.9885068 33.6448632, 72.9884968 33.6448531, 72.988484 33.6448487, 72.9884686 33.6448464, 72.9884458 33.6448448, 72.9884244 33.6448492, 72.9884022 33.6448637, 72.9884022 33.6448783, 72.9883995 33.6448939, 72.9884016 33.6449045, 72.9883814 33.6448794, 72.9883251 33.6448995, 72.988303 33.6448654, 72.9882326 33.6448883, 72.9882359 33.6448995, 72.9881213 33.6449447, 72.9881132 33.6449363, 72.9880321 33.6449743, 72.988069 33.6450167, 72.9880093 33.645039, 72.9880609 33.6451256, 72.988132 33.6450976, 72.9881303 33.6450893, 72.9881417 33.6450848, 72.9881699 33.6451258, 72.9883358 33.6450619, 72.9883224 33.6450393, 72.9883298 33.6450315, 72.9883419 33.6450089, 72.988362 33.6450441, 72.9884508 33.6450178, 72.988421 33.6449653, 72.9884049 33.644969, 72.9883895 33.6449352))"
yes,"POLYGON ((73.2016836 33.5685002, 73.2016871 33.5685612, 73.2015895 33.5685641, 73.2015825 33.5684973, 73.2016836 33.5685002))"
yes,"POLYGON ((72.9940188 33.6421154, 72.9942459 33.6419973, 72.9940729 33.6418116, 72.9940702 33.6417891, 72.9940513 33.6417362, 72.9940256 33.6417047, 72.9939891 33.6416732, 72.9939459 33.641644, 72.9939053 33.6416282, 72.9938553 33.6416192, 72.9938094 33.6416125, 72.993731 33.6416158, 72.9936377 33.6416935, 72.9936837 33.6417497, 72.9936519 33.6417828, 72.9938143 33.6419476, 72.9939502 33.6421454, 72.9940188 33.6421154))"
yes,"POLYGON ((73.024795 33.7144013, 73.0250392 33.7141363, 73.0246189 33.7139359, 73.0243605 33.7142633, 73.0244746 33.7142995, 73.024795 33.7144013))"
yes,"POLYGON ((73.024108 33.7138059, 73.0244092 33.7139536, 73.0241967 33.7142255, 73.0239002 33.7140643, 73.024108 33.7138059))"
yes,"POLYGON ((73.2020737 33.6409937, 73.2021182 33.6408741, 73.2023574 33.6409359, 73.2023433 33.6409737, 73.202422 33.640994, 73.2023915 33.6410758, 73.2020737 33.6409937))"
house,"POLYGON ((72.9953409 33.681109, 72.9952284 33.681258, 72.9951294 33.6812062, 72.9952418 33.6810572, 72.9953409 33.681109))"
house,"POLYGON ((72.9954807 33.6811878, 72.9953683 33.6813368, 72.9952692 33.681285, 72.9953816 33.681136, 72.9954807 33.6811878))"
house,"POLYGON ((72.9955999 33.6812594, 72.9954875 33.6814084, 72.9953884 33.6813566, 72.9955009 33.6812076, 72.9955999 33.6812594))"
house,"POLYGON ((72.9957293 33.6813266, 72.9956169 33.6814756, 72.9955178 33.6814238, 72.9956303 33.6812748, 72.9957293 33.6813266))"
house,"POLYGON ((72.9958881 33.6814058, 72.9957756 33.6815548, 72.9956766 33.681503, 72.995789 33.681354, 72.9958881 33.6814058))"
house,"POLYGON ((72.9960279 33.6814846, 72.9959155 33.6816336, 72.9958164 33.6815818, 72.9959288 33.6814328, 72.9960279 33.6814846))"
house,"POLYGON ((72.9963484 33.6823947, 72.9962359 33.6825437, 72.9961369 33.6824919, 72.9962493 33.6823429, 72.9963484 33.6823947))"
house,"POLYGON ((72.9964882 33.6824735, 72.9963758 33.6826225, 72.9962767 33.6825707, 72.9963891 33.6824217, 72.9964882 33.6824735))"
house,"POLYGON ((72.9966074 33.6825451, 72.996495 33.6826941, 72.9963959 33.6826423, 72.9965084 33.6824933, 72.9966074 33.6825451))"
house,"POLYGON ((72.9964696 33.6821918, 72.9963572 33.6823408, 72.9962581 33.682289, 72.9963706 33.68214, 72.9964696 33.6821918))"
house,"POLYGON ((72.9968956 33.6826915, 72.9967831 33.6828405, 72.9966841 33.6827887, 72.9967965 33.6826397, 72.9968956 33.6826915))"
house,"POLYGON ((72.9970354 33.6827703, 72.996923 33.6829193, 72.9968239 33.6828675, 72.9969363 33.6827185, 72.9970354 33.6827703))"
house,"POLYGON ((72.9967473 33.6823343, 72.9966349 33.6824833, 72.9965358 33.6824315, 72.9966482 33.6822825, 72.9967473 33.6823343))"
house,"POLYGON ((72.9966075 33.6822555, 72.996495 33.6824045, 72.996396 33.6823527, 72.9965084 33.6822037, 72.9966075 33.6822555))"
house,"POLYGON ((72.9968665 33.6824059, 72.9967541 33.6825549, 72.996655 33.6825031, 72.9967675 33.6823541, 72.9968665 33.6824059))"
house,"POLYGON ((72.9971416 33.682579, 72.9970292 33.682728, 72.9969301 33.6826762, 72.9970425 33.6825272, 72.9971416 33.682579))"
house,"POLYGON ((72.9970018 33.6825002, 72.9968893 33.6826492, 72.9967903 33.6825974, 72.9969027 33.6824484, 72.9970018 33.6825002))"
house,"POLYGON ((72.998187 33.6822926, 72.9980411 33.6824828, 72.9979219 33.6824195, 72.9980678 33.6822293, 72.998187 33.6822926))"
house,"POLYGON ((72.9980434 33.6822239, 72.9978975 33.6824141, 72.9977783 33.6823508, 72.9979243 33.6821606, 72.9980434 33.6822239))"
house,"POLYGON ((72.9957996 33.6823401, 72.9959289 33.682175, 72.996062 33.6822471, 72.9959327 33.6824122, 72.9957996 33.6823401))"
house,"POLYGON ((72.9956662 33.6822596, 72.9957955 33.6820944, 72.9959285 33.6821665, 72.9957993 33.6823317, 72.9956662 33.6822596))"
house,"POLYGON ((72.9955218 33.682183, 72.9956511 33.6820179, 72.9957842 33.68209, 72.9956549 33.6822552, 72.9955218 33.682183))"
house,"POLYGON ((72.9953864 33.6821054, 72.9955157 33.6819403, 72.9956488 33.6820124, 72.9955195 33.6821776, 72.9953864 33.6821054))"
house,"POLYGON ((72.9952446 33.68203, 72.9953739 33.6818648, 72.995507 33.6819369, 72.9953777 33.6821021, 72.9952446 33.68203))"
house,"POLYGON ((72.9951054 33.6819534, 72.9952347 33.6817883, 72.9953677 33.6818604, 72.9952385 33.6820256, 72.9951054 33.6819534))"
house,"POLYGON ((72.9949649 33.6818822, 72.9950942 33.6817171, 72.9952272 33.6817892, 72.995098 33.6819543, 72.9949649 33.6818822))"
house,"POLYGON ((72.9948282 33.6818078, 72.9949575 33.6816427, 72.9950905 33.6817148, 72.9949613 33.6818799, 72.9948282 33.6818078))"
house,"POLYGON ((72.9946864 33.6817398, 72.9948157 33.6815746, 72.9949488 33.6816468, 72.9948195 33.6818119, 72.9946864 33.6817398))"
house,"POLYGON ((72.9945421 33.6816622, 72.9946713 33.681497, 72.9948044 33.6815692, 72.9946752 33.6817343, 72.9945421 33.6816622))"
house,"POLYGON ((72.9946912 33.6814497, 72.9948204 33.6812845, 72.9949535 33.6813567, 72.9948243 33.6815218, 72.9946912 33.6814497))"
house,"POLYGON ((72.9948355 33.6815273, 72.9949648 33.6813621, 72.9950979 33.6814343, 72.9949686 33.6815994, 72.9948355 33.6815273))"
house,"POLYGON ((72.9949773 33.6815953, 72.9951066 33.6814302, 72.9952396 33.6815023, 72.9951104 33.6816674, 72.9949773 33.6815953))"
house,"POLYGON ((72.995114 33.6816697, 72.9952433 33.6815046, 72.9953763 33.6815767, 72.9952471 33.6817418, 72.995114 33.6816697))"
house,"POLYGON ((72.9952545 33.6817409, 72.9953838 33.6815758, 72.9955168 33.6816479, 72.9953876 33.6818131, 72.9952545 33.6817409))"
house,"POLYGON ((72.9953937 33.6818175, 72.995523 33.6816523, 72.9956561 33.6817244, 72.9955268 33.6818896, 72.9953937 33.6818175))"
house,"POLYGON ((72.9955355 33.6818929, 72.9956648 33.6817278, 72.9957979 33.6817999, 72.9956686 33.6819651, 72.9955355 33.6818929))"
house,"POLYGON ((72.9956709 33.6819705, 72.9958002 33.6818054, 72.9959333 33.6818775, 72.995804 33.6820427, 72.9956709 33.6819705))"
house,"POLYGON ((72.9959487 33.6821276, 72.996078 33.6819625, 72.9962111 33.6820346, 72.9960818 33.6821997, 72.9959487 33.6821276))"
house,"POLYGON ((72.9958153 33.6820471, 72.9959446 33.6818819, 72.9960776 33.681954, 72.9959484 33.6821192, 72.9958153 33.6820471))"
house,"POLYGON ((72.9950215 33.680882, 72.9951588 33.6807069, 72.9953585 33.6808154, 72.9952213 33.6809904, 72.9950215 33.680882))"
house,"POLYGON ((72.9952301 33.6809877, 72.9953594 33.6808225, 72.9954925 33.6808947, 72.9953632 33.6810598, 72.9952301 33.6809877))"
house,"POLYGON ((72.9953719 33.6810557, 72.9955012 33.6808906, 72.9956342 33.6809627, 72.995505 33.6811278, 72.9953719 33.6810557))"
house,"POLYGON ((72.9955086 33.6811301, 72.9956379 33.680965, 72.9957709 33.6810371, 72.9956417 33.6812022, 72.9955086 33.6811301))"
house,"POLYGON ((72.9956491 33.6812013, 72.9957784 33.6810362, 72.9959114 33.6811083, 72.9957822 33.6812735, 72.9956491 33.6812013))"
house,"POLYGON ((72.9957883 33.6812779, 72.9959176 33.6811127, 72.9960507 33.6811848, 72.9959214 33.68135, 72.9957883 33.6812779))"
house,"POLYGON ((72.9959301 33.6813533, 72.9960594 33.6811882, 72.9961925 33.6812603, 72.9960632 33.6814255, 72.9959301 33.6813533))"
house,"POLYGON ((72.9960655 33.6814309, 72.9961948 33.6812658, 72.9963279 33.6813379, 72.9961986 33.6815031, 72.9960655 33.6814309))"
house,"POLYGON ((72.9963433 33.681588, 72.9964726 33.6814229, 72.9966057 33.681495, 72.9964764 33.6816601, 72.9963433 33.681588))"
house,"POLYGON ((72.9962099 33.6815075, 72.9963392 33.6813423, 72.9964722 33.6814144, 72.996343 33.6815796, 72.9962099 33.6815075))"
school,"POLYGON ((72.9948563 33.681106, 72.9949936 33.680931, 72.9951933 33.6810394, 72.9950561 33.6812145, 72.9948563 33.681106))"
house,"POLYGON ((72.9965082 33.6812285, 72.9967095 33.6809778, 72.996915 33.681092, 72.9967137 33.6813428, 72.9965082 33.6812285))"
house,"POLYGON ((72.9967141 33.6809563, 72.9969155 33.6807056, 72.9971209 33.6808198, 72.9969196 33.6810706, 72.9967141 33.6809563))"
yes,"POLYGON ((72.9965053 33.6808348, 72.9967066 33.6805841, 72.996912 33.6806983, 72.9967108 33.6809491, 72.9965053 33.6808348))"
house,"POLYGON ((72.9962964 33.6807117, 72.9964977 33.6804609, 72.9967032 33.6805751, 72.9965019 33.6808259, 72.9962964 33.6807117))"
house,"POLYGON ((72.995899 33.6804856, 72.9961003 33.6802348, 72.9963057 33.680349, 72.9961045 33.6805998, 72.995899 33.6804856))"
house,"POLYGON ((72.9954691 33.6802746, 72.9956704 33.6800239, 72.9958759 33.6801381, 72.9957126 33.6803416, 72.9956746 33.6803889, 72.9954691 33.6802746))"
house,"POLYGON ((72.9956658 33.6807859, 72.9958671 33.6805351, 72.9960726 33.6806493, 72.9958713 33.6809001, 72.9956658 33.6807859))"
house,"POLYGON ((72.9958746 33.6809057, 72.996076 33.6806549, 72.9962814 33.6807691, 72.9960801 33.6810199, 72.9958746 33.6809057))"
house,"POLYGON ((72.9960855 33.6810204, 72.9962869 33.6807697, 72.9964923 33.6808839, 72.996291 33.6811347, 72.9960855 33.6810204))"
house,"POLYGON ((72.9963175 33.6811363, 72.9964103 33.6811863, 72.9966057 33.6809352, 72.9965129 33.6808852, 72.9963175 33.6811363))"
house,"POLYGON ((72.9973591 33.6807518, 72.9975513 33.6804917, 72.9977261 33.6805812, 72.997534 33.6808413, 72.9973591 33.6807518))"
house,"POLYGON ((72.997536 33.6808436, 72.9977283 33.6805835, 72.9979031 33.680673, 72.9977109 33.6809331, 72.997536 33.6808436))"
house,"POLYGON ((72.9977249 33.6809414, 72.9979171 33.6806813, 72.9980919 33.6807708, 72.9978997 33.6810309, 72.9977249 33.6809414))"
house,"POLYGON ((72.9979331 33.6810509, 72.9981253 33.6807908, 72.9983001 33.6808803, 72.998108 33.6811404, 72.9979331 33.6810509))"
house,"POLYGON ((72.9981387 33.6811582, 72.998331 33.6808982, 72.9985058 33.6809876, 72.9983136 33.6812477, 72.9981387 33.6811582))"
house,"POLYGON ((72.9983355 33.6812507, 72.9985277 33.6809906, 72.9987025 33.6810801, 72.9985103 33.6813402, 72.9983355 33.6812507))"
house,"POLYGON ((72.9985386 33.6813634, 72.9987308 33.6811033, 72.9989056 33.6811928, 72.9987134 33.6814529, 72.9985386 33.6813634))"
house,"POLYGON ((72.9987557 33.6814782, 72.998948 33.6812181, 72.9991228 33.6813076, 72.9989306 33.6815677, 72.9987557 33.6814782))"
house,"POLYGON ((72.9989588 33.6815898, 72.9991511 33.6813297, 72.9993259 33.6814192, 72.9991337 33.6816793, 72.9989588 33.6815898))"
house,"POLYGON ((72.9991558 33.681682, 72.9993519 33.681431, 72.9995535 33.6815401, 72.9993575 33.6817911, 72.9991558 33.681682))"
house,"POLYGON ((72.9993663 33.6818008, 72.9995624 33.6815498, 72.999764 33.6816589, 72.999568 33.6819099, 72.9993663 33.6818008))"
house,"POLYGON ((72.9995733 33.6815138, 72.9997693 33.6812628, 72.999971 33.6813719, 72.9997749 33.6816229, 72.9995733 33.6815138))"
house,"POLYGON ((72.999365 33.6814001, 72.9995611 33.6811491, 72.9997628 33.6812582, 72.9995667 33.6815092, 72.999365 33.6814001))"
house,"POLYGON ((72.9991581 33.6812863, 72.9993542 33.6810354, 72.9995558 33.6811444, 72.9993598 33.6813954, 72.9991581 33.6812863))"
house,"POLYGON ((72.9989486 33.6811715, 72.9991447 33.6809206, 72.9993463 33.6810296, 72.9991503 33.6812806, 72.9989486 33.6811715))"
house,"POLYGON ((72.9987442 33.6810557, 72.9989403 33.6808047, 72.9991419 33.6809138, 72.9989459 33.6811648, 72.9987442 33.6810557))"
house,"POLYGON ((72.998536 33.6809419, 72.9987321 33.680691, 72.9989337 33.6808, 72.9987377 33.681051, 72.998536 33.6809419))"
house,"POLYGON ((72.998327 33.6808309, 72.9985231 33.6805799, 72.9987247 33.680689, 72.9985287 33.68094, 72.998327 33.6808309))"
house,"POLYGON ((72.9981196 33.6807198, 72.9983157 33.6804688, 72.9985173 33.6805779, 72.9983213 33.6808289, 72.9981196 33.6807198))"
house,"POLYGON ((72.997916 33.6806065, 72.9981121 33.6803555, 72.9983137 33.6804646, 72.9981177 33.6807156, 72.997916 33.6806065))"
school,"POLYGON ((72.9975648 33.6804705, 72.9977951 33.6801569, 72.9981202 33.6803222, 72.9978899 33.6806358, 72.9975648 33.6804705))"
house,"POLYGON ((72.9966167 33.6803366, 72.996818 33.6800858, 72.9970235 33.6802, 72.9968222 33.6804508, 72.9966167 33.6803366))"
house,"POLYGON ((72.9968256 33.6804597, 72.9970269 33.680209, 72.9972323 33.6803232, 72.9970311 33.680574, 72.9968256 33.6804597))"
house,"POLYGON ((72.9970344 33.6805812, 72.9972358 33.6803305, 72.9974412 33.6804447, 72.9972399 33.6806955, 72.9970344 33.6805812))"
house,"POLYGON ((72.9968083 33.6800335, 72.9970096 33.6797827, 72.9972151 33.6798969, 72.9970138 33.6801477, 72.9968083 33.6800335))"
house,"POLYGON ((72.9970172 33.6801566, 72.9972185 33.6799059, 72.9974239 33.6800201, 72.9972227 33.6802709, 72.9970172 33.6801566))"
house,"POLYGON ((72.997226 33.6802781, 72.9974274 33.6800274, 72.9976328 33.6801416, 72.9974315 33.6803924, 72.997226 33.6802781))"
house,"POLYGON ((72.9963927 33.6802228, 72.996594 33.679972, 72.9967995 33.6800862, 72.9965982 33.680337, 72.9963927 33.6802228))"
house,"POLYGON ((72.9963998 33.679837, 72.9966011 33.6795862, 72.9968066 33.6797004, 72.9966053 33.6799512, 72.9963998 33.679837))"
house,"POLYGON ((72.9961813 33.6797203, 72.9962868 33.6795854, 72.9961362 33.6795038, 72.9962291 33.679385, 72.9965939 33.6795827, 72.9963955 33.6798363, 72.9961813 33.6797203))"
house,"POLYGON ((72.9957658 33.679898, 72.9959671 33.6796472, 72.9961726 33.6797614, 72.9959713 33.6800122, 72.9957658 33.679898))"
house,"POLYGON ((72.9962966 33.6792341, 72.9964384 33.6790497, 72.9965272 33.6790314, 72.9966041 33.6790454, 72.9968111 33.679163, 72.9968732 33.6791983, 72.9966863 33.6794415, 72.9962966 33.6792341))"
house,"POLYGON ((72.9966925 33.67945, 72.9968938 33.6791992, 72.9970993 33.6793134, 72.996898 33.6795642, 72.9966925 33.67945))"
house,"POLYGON ((72.9971095 33.6796349, 72.9973108 33.6793841, 72.9975163 33.6794983, 72.997315 33.6797491, 72.9971095 33.6796349))"
house,"POLYGON ((72.9973184 33.679758, 72.9975197 33.6795073, 72.9977251 33.6796215, 72.9975239 33.6798723, 72.9973184 33.679758))"
house,"POLYGON ((72.9975272 33.6798795, 72.9977286 33.6796288, 72.997934 33.679743, 72.9977327 33.6799938, 72.9975272 33.6798795))"
house,"POLYGON ((72.9973129 33.6793396, 72.9975142 33.6790888, 72.9977197 33.679203, 72.9975184 33.6794538, 72.9973129 33.6793396))"
house,"POLYGON ((72.9975218 33.6794627, 72.9977231 33.679212, 72.9979285 33.6793262, 72.9977273 33.679577, 72.9975218 33.6794627))"
house,"POLYGON ((72.9977306 33.6795842, 72.997932 33.6793335, 72.9981374 33.6794477, 72.9979361 33.6796985, 72.9977306 33.6795842))"
house,"POLYGON ((72.9966777 33.6789892, 72.996879 33.6787384, 72.9970845 33.6788526, 72.9968832 33.6791034, 72.9966777 33.6789892))"
house,"POLYGON ((72.9968866 33.6791123, 72.9970879 33.6788616, 72.9972933 33.6789758, 72.9970921 33.6792266, 72.9968866 33.6791123))"
house,"POLYGON ((72.9970954 33.6792338, 72.9972968 33.6789831, 72.9975022 33.6790973, 72.9973009 33.6793481, 72.9970954 33.6792338))"
house,"POLYGON ((72.9981027 33.6797495, 72.998304 33.6794987, 72.9985095 33.6796129, 72.9983082 33.6798637, 72.9981027 33.6797495))"
house,"POLYGON ((72.9978993 33.6800448, 72.9981006 33.679794, 72.9983061 33.6799082, 72.9981048 33.680159, 72.9978993 33.6800448))"
house,"POLYGON ((72.9981082 33.6801679, 72.9983095 33.6799172, 72.9985149 33.6800314, 72.9983137 33.6802822, 72.9981082 33.6801679))"
house,"POLYGON ((72.998317 33.6802894, 72.9985184 33.6800387, 72.9987238 33.6801529, 72.9985225 33.6804037, 72.998317 33.6802894))"
house,"POLYGON ((72.9983116 33.6798726, 72.9985129 33.6796219, 72.9987183 33.6797361, 72.9985171 33.6799869, 72.9983116 33.6798726))"
house,"POLYGON ((72.9985204 33.6799941, 72.9987218 33.6797434, 72.9989272 33.6798576, 72.9987259 33.6801084, 72.9985204 33.6799941))"
house,"POLYGON ((72.9987433 33.6801084, 72.9989446 33.6798576, 72.9991501 33.6799718, 72.9989488 33.6802226, 72.9987433 33.6801084))"
house,"POLYGON ((72.9985399 33.6804037, 72.9987412 33.6801529, 72.9989467 33.6802671, 72.9987454 33.6805179, 72.9985399 33.6804037))"
house,"POLYGON ((72.9987488 33.6805268, 72.9989501 33.6802761, 72.9991555 33.6803903, 72.9989543 33.6806411, 72.9987488 33.6805268))"
house,"POLYGON ((72.9989576 33.6806483, 72.999159 33.6803976, 72.9993644 33.6805118, 72.9991631 33.6807626, 72.9989576 33.6806483))"
