building,geometry
yes,"POLYGON ((73.0692626 33.6768255, 73.0692201 33.676804, 73.0691562 33.6768915, 73.0692216 33.6769246, 73.0692369 33.6769036, 73.0692602 33.6769154, 73.069227 33.6769609, 73.0692452 33.6769701, 73.0692302 33.6769908, 73.0692674 33.6770095, 73.0692832 33.6769877, 73.0693169 33.6770046, 73.0693059 33.6770198, 73.0693414 33.6770375, 73.0693503 33.6770252, 73.0693864 33.6770432, 73.0693777 33.6770553, 73.0694116 33.6770721, 73.0694204 33.6770598, 73.069459 33.6770788, 73.0694433 33.6771008, 73.0694825 33.6771202, 73.0694976 33.677099, 73.0695126 33.6771064, 73.0695306 33.6770812, 73.0695486 33.6771473, 73.0696008 33.6771374, 73.06958 33.6770613, 73.0695982 33.6770706, 73.0696095 33.6770554, 73.0696298 33.6770657, 73.0696399 33.6770521, 73.0696571 33.6770609, 73.0696842 33.6770243, 73.069672 33.677018, 73.0696888 33.6769953, 73.0697031 33.6770026, 73.0697284 33.6769684, 73.06971 33.676959, 73.069719 33.6769468, 73.0696974 33.6769358, 73.0696974 33.6769012, 73.0696732 33.6768892, 73.069698 33.6768547, 73.0694858 33.6767492, 73.0694642 33.6767793, 73.0693862 33.6767405, 73.0693125 33.6767572, 73.0692626 33.6768255), (73.0693191 33.6768294, 73.0693406 33.6768261, 73.0693558 33.6768626, 73.0694132 33.6768513, 73.0694044 33.6768254, 73.0694172 33.6768241, 73.069426 33.6768208, 73.0694587 33.6768367, 73.069461 33.676844, 73.069531 33.6768768, 73.06954 33.6768754, 73.0695704 33.6768904, 73.0695699 33.6768984, 73.0695977 33.6769114, 73.0696048 33.6769107, 73.0696165 33.6769113, 73.0696277 33.6769173, 73.0696324 33.6769266, 73.0696316 33.6769352, 73.0696245 33.6769452, 73.0696173 33.6769531, 73.0696101 33.6769491, 73.0695631 33.6770095, 73.0695718 33.6770135, 73.0695522 33.677036, 73.0695217 33.677021, 73.0695251 33.6770163, 73.0694828 33.6769961, 73.0694789 33.6770003, 73.0694439 33.676982, 73.0694479 33.6769783, 73.069378 33.6769426, 73.0693746 33.6769473, 73.0693413 33.6769313, 73.0693447 33.6769262, 73.0693114 33.6769107, 73.069308 33.6769154, 73.0692815 33.6769027, 73.0692798 33.6768872, 73.0693191 33.6768294))"
yes,"POLYGON ((73.0690392 33.6761976, 73.0690348 33.6762084, 73.0690312 33.6762231, 73.0690304 33.6762377, 73.0690314 33.6762545, 73.0690369 33.6762724, 73.0690467 33.6762879, 73.0690549 33.6762948, 73.0690704 33.6763004, 73.0691193 33.6762799, 73.0691284 33.6763136, 73.0690813 33.6763248, 73.0691132 33.6764684, 73.0691888 33.6764544, 73.0691934 33.6764786, 73.069235 33.6764717, 73.0692459 33.6765113, 73.0692825 33.676506, 73.0695364 33.6766374, 73.069585 33.6766245, 73.0696012 33.6766859, 73.0696216 33.6766817, 73.0696413 33.6767436, 73.0697313 33.67672, 73.0697297 33.6767133, 73.0697979 33.6766965, 73.0697949 33.6766561, 73.0698341 33.6766519, 73.0698351 33.6767012, 73.0698543 33.6767044, 73.0698729 33.6767061, 73.0698935 33.6767061, 73.0699149 33.6767027, 73.069932 33.6766971, 73.0699497 33.6766865, 73.0699624 33.6766755, 73.0699432 33.6766523, 73.0700215 33.6766175, 73.0700069 33.6765567, 73.0700441 33.6765504, 73.0700311 33.6764928, 73.0700141 33.6764955, 73.0700046 33.6764593, 73.0700213 33.6764573, 73.069984 33.676331, 73.0699496 33.6763359, 73.0699448 33.6763139, 73.0698456 33.676262, 73.0698549 33.6762503, 73.0697879 33.676214, 73.069753 33.6762575, 73.0697068 33.6762335, 73.0697034 33.6762179, 73.0696431 33.6761889, 73.0696236 33.6761911, 73.0695867 33.6761716, 73.0696176 33.6761281, 73.0695512 33.6760946, 73.0695391 33.6761046, 73.0694379 33.676055, 73.0694171 33.6760611, 73.0694081 33.6760583, 73.0694024 33.6760307, 73.069245 33.6760599, 73.0692469 33.6760702, 73.0692128 33.6760796, 73.0692099 33.6760678, 73.0691312 33.6760836, 73.0691378 33.6761199, 73.0690745 33.6761276, 73.0690743 33.6761971, 73.0690392 33.6761976), (73.0692058 33.6762463, 73.0691948 33.6762109, 73.0693748 33.676176, 73.0693842 33.6762122, 73.0692058 33.6762463), (73.0698449 33.6765736, 73.0698047 33.6764316, 73.0698486 33.676422, 73.069889 33.6765648, 73.0698449 33.6765736))"
yes,"POLYGON ((73.0703213 33.6766427, 73.0702339 33.6766601, 73.0702508 33.6767177, 73.0701764 33.6767307, 73.0701869 33.6767851, 73.0701116 33.6767988, 73.0701544 33.6769687, 73.070105 33.676976, 73.0701094 33.6770171, 73.0700985 33.6770217, 73.0700304 33.6771112, 73.0699997 33.6770957, 73.0699568 33.6771514, 73.0701764 33.6772565, 73.0702148 33.6772062, 73.0701852 33.6771916, 73.0702532 33.6770984, 73.0702532 33.6770884, 73.0703004 33.6770802, 73.0702913 33.6770371, 73.0704895 33.6770005, 73.0704718 33.6769267, 73.0705446 33.6769122, 73.0705302 33.6768557, 73.0706029 33.6768423, 73.0705877 33.6767796, 73.0705145 33.6767948, 73.0704866 33.6766872, 73.070337 33.6766992, 73.0703213 33.6766427), (73.0703129 33.6768926, 73.0702815 33.6767797, 73.0703812 33.676762, 73.0704209 33.6767836, 73.070443 33.6768681, 73.0703129 33.6768926))"
hospital,"POLYGON ((73.0661651 33.6757083, 73.06613 33.6757518, 73.0660894 33.6757319, 73.0660676 33.6757581, 73.0660255 33.6757338, 73.0660148 33.675748, 73.0659991 33.6757392, 73.0657927 33.6760039, 73.0658228 33.6760201, 73.0657765 33.6760794, 73.0658237 33.6761049, 73.0658199 33.6761246, 73.0658275 33.6761372, 73.0658749 33.6761617, 73.0658938 33.6761617, 73.0659071 33.6761546, 73.0659244 33.6761334, 73.0659593 33.6761531, 73.0660224 33.6760758, 73.06601 33.6760688, 73.0660246 33.6760509, 73.0660408 33.67606, 73.0661183 33.6759649, 73.0661792 33.6759171, 73.0662459 33.6758197, 73.0662172 33.675806, 73.0663481 33.6756155, 73.0663899 33.6756354, 73.0663956 33.675627, 73.0664431 33.6758196, 73.0664217 33.6758494, 73.0665601 33.6759179, 73.0665825 33.6758866, 73.0668025 33.6758448, 73.0667888 33.6758621, 73.0668253 33.6758821, 73.0668423 33.6758606, 73.0668669 33.6758637, 73.066903 33.6758243, 73.0669381 33.6758283, 73.0670465 33.6756953, 73.067211 33.6757837, 73.0669807 33.6760805, 73.0671662 33.6761802, 73.067244 33.6760799, 73.0672514 33.6760838, 73.0673602 33.6759425, 73.0673513 33.6759378, 73.0673992 33.6758751, 73.0674427 33.6758982, 73.0674735 33.6758579, 73.0674828 33.6758628, 73.0677385 33.6755265, 73.0677263 33.6755201, 73.0678128 33.6754064, 73.0677529 33.6753748, 73.0677578 33.6753684, 73.0671998 33.6750732, 73.0672056 33.6750657, 73.0670457 33.6749807, 73.0670378 33.6749909, 73.066636 33.6747765, 73.0660453 33.6755433, 73.0660908 33.6755676, 73.0661021 33.675553, 73.0662098 33.6756105, 73.0661651 33.6757083), (73.0667417 33.6754386, 73.0667202 33.6754047, 73.0665251 33.6754347, 73.0664741 33.6754109, 73.0664942 33.6753841, 73.0664808 33.6753763, 73.0665022 33.6753462, 73.066517 33.6753529, 73.0666442 33.6751812, 73.0666334 33.6751745, 73.0666602 33.6751377, 73.0667058 33.6751634, 73.0667233 33.6751421, 73.0667635 33.6751634, 73.0667443 33.6751831, 73.0668067 33.6753646, 73.0668264 33.6753751, 73.0667611 33.6754515, 73.0667417 33.6754386), (73.0668857 33.6754041, 73.0670471 33.6753758, 73.0670512 33.6753937, 73.0671189 33.675373, 73.0671363 33.6753832, 73.0671334 33.6754333, 73.0669747 33.6756533, 73.0669217 33.6756561, 73.0669059 33.6756486, 73.0668541 33.67549, 73.0668146 33.6754816, 73.0667983 33.6754723, 73.0668651 33.6753946, 73.0668857 33.6754041))"
yes,"POLYGON ((73.0241348 33.6949591, 73.0242688 33.6950276, 73.0242435 33.6950618, 73.0243423 33.6951123, 73.0243671 33.6950787, 73.024497 33.6951452, 73.0247129 33.694853, 73.0243502 33.6946675, 73.0241348 33.6949591), (73.0245638 33.6948678, 73.0244584 33.6950081, 73.0242911 33.694921, 73.0243965 33.6947807, 73.0245638 33.6948678))"
yes,"MULTIPOLYGON (((73.012752 33.6730281, 73.0128088 33.6730749, 73.0128306 33.6730733, 73.0128714 33.6730425, 73.012952 33.6731159, 73.0130193 33.6731309, 73.0130222 33.6731112, 73.0128486 33.6729518, 73.0127528 33.6730122, 73.012752 33.6730281)), ((73.0126021 33.6732557, 73.0126111 33.6732651, 73.0126224 33.6732745, 73.0126382 33.673282, 73.0128186 33.6733167, 73.0128287 33.6732848, 73.0128182 33.6732827, 73.0128773 33.6730995, 73.0127018 33.673065, 73.0126795 33.6730664, 73.0126619 33.673069, 73.0126508 33.6730823, 73.0125982 33.6732323, 73.0125976 33.6732454, 73.0126021 33.6732557)), ((73.0130243 33.6731771, 73.0129772 33.6733135, 73.0128462 33.6732865, 73.0128229 33.6733544, 73.0127664 33.673348, 73.0127604 33.6733832, 73.0128039 33.6733886, 73.012805 33.6734102, 73.0129279 33.6734674, 73.0130993 33.6732394, 73.0130926 33.6732347, 73.0131253 33.6731943, 73.0130341 33.6731238, 73.013032 33.6731314, 73.0130294 33.6731408, 73.0128997 33.6731127, 73.012889 33.6731475, 73.0130243 33.6731771)))"
yes,"POLYGON ((73.0948042 33.7321109, 73.0958086 33.7326329, 73.096483 33.7317353, 73.0959843 33.7314762, 73.0954785 33.7312133, 73.0948042 33.7321109), (73.0955915 33.7316085, 73.0960746 33.7318609, 73.0957878 33.7322405, 73.0953047 33.7319882, 73.0955915 33.7316085))"
yes,"POLYGON ((73.1135018 33.7230128, 73.113154 33.7228434, 73.1130125 33.7230443, 73.1133603 33.7232137, 73.1135018 33.7230128), (73.1132059 33.7229391, 73.1132631 33.7229669, 73.1132322 33.7230108, 73.113175 33.722983, 73.1132059 33.7229391))"
roof,"POLYGON ((73.0682809 33.6934567, 73.0683184 33.693438, 73.0682846 33.6934244, 73.0682546 33.6934046, 73.068202 33.6933692, 73.068157 33.6933317, 73.0681532 33.693388, 73.068152 33.6934307, 73.0681795 33.6934609, 73.0682245 33.6934661, 73.0682809 33.6934567))"
school,"POLYGON ((73.060091 33.708191, 73.0600516 33.7082426, 73.0601205 33.708279, 73.060178 33.7082035, 73.0602301 33.708231, 73.0603799 33.7080347, 73.0604365 33.7079604, 73.0596989 33.707571, 73.0596838 33.7075908, 73.0595505 33.7075204, 73.0593596 33.7077707, 73.0594551 33.7078211, 73.0594374 33.7078443, 73.0593314 33.7077884, 73.0591933 33.7079693, 73.0592994 33.7080253, 73.0593992 33.7078945, 73.0598706 33.7081433, 73.0599929 33.7082079, 73.0600302 33.708159, 73.060091 33.708191), (73.059548 33.7078644, 73.0596729 33.7077006, 73.0597338 33.7077328, 73.0597551 33.7077049, 73.0599595 33.7078128, 73.0598133 33.7080044, 73.059548 33.7078644), (73.060052 33.7081304, 73.0599126 33.7080568, 73.0600389 33.7078912, 73.0601066 33.7079269, 73.0601264 33.7079009, 73.0603047 33.707995, 73.0601693 33.7081724, 73.0601236 33.7081483, 73.0600628 33.7081162, 73.060052 33.7081304))"
school,"POLYGON ((73.0625018 33.7097389, 73.0630545 33.7100186, 73.0630624 33.7100078, 73.0630918 33.7100227, 73.0631088 33.7099995, 73.0631381 33.7100046, 73.0633432 33.7097239, 73.0633173 33.7097108, 73.063344 33.7096744, 73.0633126 33.7096585, 73.063342 33.7096183, 73.0629907 33.7094407, 73.0629761 33.7094606, 73.0628923 33.7094183, 73.0628807 33.7094341, 73.062843 33.709415, 73.0626356 33.7096987, 73.0625594 33.7096601, 73.0625018 33.7097389))"
