length,highway,geometry
203.95345477087787,residential,"LINESTRING (72.9086666 33.6519551, 72.9081674 33.6516428, 72.9079886 33.6515258, 72.9077948 33.6514301, 72.9076948 33.6514106, 72.9075798 33.6514053, 72.9074904 33.6513769, 72.9074053 33.6513273, 72.9072882 33.6512848, 72.9071711 33.6512688, 72.9071051 33.6512423, 72.907037 33.6511944, 72.9068986 33.6511395, 72.906756 33.6511112)"
236.52918731233166,trunk,"LINESTRING (72.9051999 33.6548807, 72.9050326 33.6550648, 72.9047045 33.6554892, 72.90387 33.6562925, 72.903611 33.6565419)"
296.60743913207835,trunk,"LINESTRING (72.9011171 33.6584621, 72.8993376 33.6592914, 72.8983178 33.6597607)"
405.69792510427203,residential,"LINESTRING (72.9011171 33.6584621, 72.9008987 33.6582255, 72.9007513 33.6581452, 72.9006091 33.6581407, 72.9004669 33.6580603, 72.9003113 33.6579308, 72.9000083 33.6576562, 72.8997508 33.6574397, 72.8995898 33.6573213, 72.8992519 33.6571472, 72.8987718 33.6570266, 72.8982782 33.6567743, 72.897546 33.6564908)"
47.85292330289131,trunk,"LINESTRING (72.8963676 33.6606436, 72.8959143 33.6608506)"
437.6236197545781,residential,"LINESTRING (72.8963676 33.6606436, 72.8960395 33.6603774, 72.8955867 33.6601017, 72.8947722 33.659736, 72.8945695 33.6596151, 72.893603 33.658985, 72.892971 33.6585828, 72.892591 33.6582983)"
2.7927564942264107,secondary,"LINESTRING (72.985466 33.6710052, 72.9854816 33.6709837)"
11.690084011169565,secondary,"LINESTRING (72.985466 33.6710052, 72.9853877 33.6710877)"
195.47697636895802,trunk,"LINESTRING (73.0641692 33.6933782, 73.0648414 33.6937332, 73.0657509 33.6941948, 73.0659668 33.6943019)"
40.57344750088352,primary,"LINESTRING (73.0178678 33.6898893, 73.0178136 33.6899622, 73.0177845 33.6900217, 73.0177653 33.6900883, 73.0177505 33.6901497, 73.0177405 33.6902331)"
30.388172642413583,primary,"LINESTRING (73.0180764 33.6905592, 73.0181649 33.6905514, 73.0182494 33.6905324, 73.0183822 33.690471)"
138.60182364470555,residential,"LINESTRING (73.0298567 33.6901034, 73.0285761 33.6894566)"
