landuse,geometry
residential,"POLYGON ((73.1767469 33.7448975, 73.1731113 33.7448155, 73.1681569 33.7454611, 73.1699932 33.7494577, 73.1711024 33.7497958, 73.1709176 33.7518248, 73.1732838 33.7530749, 73.1745286 33.7513329, 73.174393 33.7484944, 73.1755145 33.7477156, 73.1752187 33.7467728, 73.1767469 33.7448975))"
residential,"POLYGON ((73.138316 33.7247897, 73.1422598 33.7238877, 73.1452669 33.725374, 73.1463021 33.726481, 73.1475222 33.7252305, 73.148656 33.726112, 73.1483109 33.728941, 73.1492353 33.7301299, 73.1514413 33.7296994, 73.1515152 33.7289102, 73.1547442 33.7289, 73.1541156 33.7307961, 73.1522054 33.7310319, 73.1517371 33.7317186, 73.1483356 33.7312369, 73.1437263 33.7287052, 73.138316 33.7247897))"
residential,"POLYGON ((73.1445397 33.724595, 73.1441823 33.7231497, 73.1453778 33.7232112, 73.1455626 33.7248307, 73.1445397 33.724595))"
residential,"POLYGON ((73.1428144 33.7228934, 73.1426665 33.7215301, 73.1432457 33.720792, 73.1442563 33.7221041, 73.1452915 33.7221759, 73.145082 33.7229447, 73.1428144 33.7228934))"
residential,"POLYGON ((73.128034 33.534982, 73.12955 33.5355236, 73.1296618 33.5360826, 73.1309683 33.53663, 73.1312966 33.536432, 73.131587 33.5363996, 73.1318638 33.5366798, 73.1327428 33.5361292, 73.1330921 33.536368, 73.1335812 33.5361409, 73.1334904 33.5360011, 73.1341009 33.5356416, 73.1351461 33.5353081, 73.1356142 33.5350694, 73.1364209 33.5348395, 73.1370185 33.5347258, 73.1372975 33.5350219, 73.1374656 33.5350344, 73.1385765 33.5338988, 73.1387598 33.5339854, 73.1387022 33.5341318, 73.1391778 33.534084, 73.1394947 33.5340212, 73.1399577 33.5339716, 73.1403096 33.5338294, 73.1406678 33.5335961, 73.1422789 33.5338334, 73.1425727 33.5344404, 73.1445373 33.5343879, 73.1453324 33.5345569, 73.1451367 33.5358206, 73.1468764 33.5358206, 73.1483365 33.5357158, 73.1501949 33.5357158, 73.1518332 33.5356808, 73.1525389 33.5353431, 73.1536593 33.5353637, 73.1556447 33.5357048, 73.1552754 33.538391, 73.1550247 33.5390119, 73.1566007 33.5395493, 73.1566222 33.5403972, 73.1571737 33.5412271, 73.1590076 33.5411495, 73.1590052 33.5408137, 73.159466 33.540833, 73.1598887 33.5410181, 73.1599853 33.5410006, 73.160244 33.5409536, 73.1621236 33.5406121, 73.1631695 33.5408509, 73.1631767 33.5398419, 73.1636853 33.539203, 73.1641366 33.5390955, 73.1638076 33.5387594, 73.1649174 33.5384626, 73.1659059 33.5376685, 73.1673171 33.537561, 73.1671879 33.5400002, 73.1683265 33.5400664, 73.1684986 33.5395478, 73.168962 33.5395699, 73.1705904 33.5415561, 73.1721791 33.5407396, 73.177594 33.5404085, 73.177978 33.5397188, 73.1785252 33.5385684, 73.1785737 33.5384664, 73.1787756 33.5377048, 73.1791033 33.536469, 73.1792688 33.5344053, 73.17909 33.5336626, 73.1790218 33.5333795, 73.1788981 33.5328658, 73.1787862 33.530515, 73.1787357 33.529455, 73.1781824 33.5276024, 73.177923 33.5260803, 73.1775866 33.5232283, 73.1775475 33.5229445, 73.1773298 33.5207213, 73.1777705 33.5204379, 73.1775973 33.5183747, 73.1775448 33.5173999, 73.177044 33.517436, 73.1769226 33.5174447, 73.1767376 33.515018, 73.1766513 33.5138858, 73.1766072 33.5133069, 73.176598 33.513186, 73.1765811 33.5129648, 73.1706791 33.5152118, 73.1678902 33.5162324, 73.1650973 33.518568, 73.1638953 33.5192672, 73.1468332 33.5233846, 73.1433667 33.5246275, 73.1414285 33.5257306, 73.1416242 33.5258704, 73.1421926 33.525917, 73.1427331 33.5267016, 73.1441774 33.5275639, 73.1414259 33.5275801, 73.1404658 33.5269824, 73.1400587 33.5277658, 73.1396953 33.5283251, 73.1397419 33.5288067, 73.139043 33.5288378, 73.1382509 33.5291951, 73.1377477 33.5297933, 73.1369556 33.5296068, 73.1366301 33.5295585, 73.1366202 33.5296068, 73.1361543 33.5296224, 73.1357908 33.5298709, 73.1357442 33.5304302, 73.135036 33.5304225, 73.134244 33.5300651, 73.1340297 33.5298321, 73.1315603 33.5309429, 73.130908 33.5314711, 73.1280379 33.5349587, 73.128034 33.534982))"
grass,"POLYGON ((73.1859712 33.5177913, 73.1862448 33.5178629, 73.1866847 33.5177735, 73.1872507 33.5175453, 73.186792 33.5170668, 73.1862341 33.5167537, 73.1861751 33.51687, 73.1863896 33.5170623, 73.1859605 33.5173665, 73.1856386 33.5171965, 73.1851987 33.5175141, 73.184952 33.5174827, 73.1850003 33.5177869, 73.1852685 33.517769, 73.1852571 33.5177145, 73.1852309 33.5175901, 73.1853919 33.5175409, 73.1855206 33.5175498, 73.1856172 33.5174649, 73.1859176 33.5174425, 73.1859712 33.5177913))"
commercial,"POLYGON ((73.1483039 33.5731341, 73.148497 33.5728749, 73.1520053 33.5746716, 73.1518551 33.5749219, 73.1483039 33.5731341))"
commercial,"POLYGON ((73.1479912 33.5735636, 73.1481372 33.573375, 73.1516081 33.5751711, 73.1514524 33.5753716, 73.1479912 33.5735636))"
commercial,"POLYGON ((73.1442519 33.5716056, 73.1479244 33.5734894, 73.1480083 33.5733082, 73.1443828 33.5714286, 73.1442519 33.5716056))"
commercial,"POLYGON ((73.1481596 33.5731615, 73.146348 33.5722194, 73.1457903 33.5719293, 73.1450372 33.5715406, 73.1445021 33.5712628, 73.1447002 33.571, 73.148402 33.5728377, 73.1481596 33.5731615))"
commercial,"POLYGON ((73.1440861 33.5709156, 73.144257 33.5706851, 73.142742 33.5699052, 73.142571 33.5701358, 73.1440861 33.5709156))"
commercial,"POLYGON ((73.1421935 33.570524, 73.1423288 33.5703488, 73.1441967 33.5713308, 73.1443591 33.5714161, 73.1443828 33.5714286, 73.144269 33.5715842, 73.1421935 33.570524))"
commercial,"POLYGON ((73.1398279 33.5693447, 73.1398385 33.5689417, 73.1422799 33.5703231, 73.1421627 33.5704947, 73.1398279 33.5693447))"
commercial,"POLYGON ((73.1406107 33.5690308, 73.1415717 33.5695474, 73.1417317 33.5693408, 73.1407707 33.5688242, 73.1406107 33.5690308))"
commercial,"POLYGON ((73.1417031 33.5696555, 73.1418805 33.569423, 73.142624 33.5698167, 73.1424466 33.5700493, 73.1417031 33.5696555))"
commercial,"POLYGON ((73.140478 33.5690125, 73.1386968 33.5681314, 73.1381247 33.5679508, 73.1383154 33.5675897, 73.1384541 33.5676186, 73.1385884 33.5674092, 73.1388918 33.5675536, 73.1390435 33.5676403, 73.1389005 33.5678569, 73.1393729 33.5680953, 73.1406687 33.5687669, 73.140478 33.5690125))"
commercial,"POLYGON ((73.1380424 33.5685575, 73.1380857 33.56833, 73.1387575 33.5684167, 73.1387358 33.5686405, 73.1380424 33.5685575))"
forest,"POLYGON ((73.1779521 33.5253768, 73.1793778 33.5247323, 73.1796569 33.524477, 73.178964 33.5183316, 73.1775973 33.5183747, 73.177653 33.5190461, 73.1777479 33.5203633, 73.1776039 33.5204684, 73.1773247 33.5204985, 73.1775866 33.5232283, 73.1779521 33.5253768))"
commercial,"POLYGON ((73.157356 33.5312533, 73.1573416 33.5308724, 73.1611227 33.5306959, 73.1611399 33.5310118, 73.1609414 33.5311638, 73.1581209 33.5312172, 73.157356 33.5312533))"
religious,"POLYGON ((72.968071 33.656749, 72.967817 33.6566264, 72.9679945 33.6563893, 72.9682186 33.6565175, 72.9680954 33.6567109, 72.968071 33.656749))"
residential,"POLYGON ((73.0001027 33.6422551, 73.0002355 33.6420879, 72.9999462 33.6419331, 73.0001828 33.6415743, 73.0005097 33.6417337, 73.0006749 33.641523, 73.0003926 33.6413815, 73.0002709 33.6415031, 73.0000094 33.6413846, 72.9997298 33.6417599, 72.9998289 33.6419573, 72.999744 33.6420781, 73.0001027 33.6422551))"
retail,"POLYGON ((73.1966303 33.494427, 73.1958498 33.4980779, 73.1952987 33.4978724, 73.1955775 33.496737, 73.1959795 33.4949582, 73.1963433 33.4946591, 73.1963954 33.4944092, 73.1966303 33.494427))"
residential,"POLYGON ((73.1831029 33.5204367, 73.1827993 33.5203374, 73.1829071 33.5201506, 73.1827049 33.5200024, 73.1832787 33.5194694, 73.1832966 33.5194836, 73.1837497 33.5198431, 73.1836078 33.5201813, 73.1834461 33.5201719, 73.1832504 33.5202381, 73.1831738 33.5203256, 73.1831029 33.5204367))"
residential,"POLYGON ((72.9491436 33.6775238, 72.9496264 33.6772471, 72.950474 33.6779792, 72.9501629 33.6783006, 72.9495191 33.6780238, 72.9491436 33.6775238))"
residential,"POLYGON ((72.9453027 33.680363, 72.9466438 33.6802737, 72.9467511 33.6798451, 72.9472768 33.6798184, 72.9488647 33.6807112, 72.949723 33.6800773, 72.949841 33.6788898, 72.9494762 33.6787202, 72.9484892 33.6793541, 72.9481673 33.6792827, 72.9481673 33.6785952, 72.9490363 33.6783809, 72.9488325 33.6774703, 72.9474378 33.6777649, 72.9471695 33.6774435, 72.9464078 33.677756, 72.9456675 33.6769346, 72.9450667 33.6774971, 72.9456568 33.6779256, 72.9454422 33.6785327, 72.946043 33.6787559, 72.9459894 33.6795237, 72.9453134 33.6795327, 72.9451954 33.6801398, 72.9453027 33.680363))"
residential,"POLYGON ((72.9448414 33.674794, 72.9450774 33.6749167, 72.9461181 33.6747382, 72.947588 33.6743409, 72.9477757 33.674756, 72.9475719 33.6751534, 72.9483497 33.6753944, 72.9484677 33.6765507, 72.9492295 33.676506, 72.9495406 33.6760953, 72.9502487 33.6761757, 72.950753 33.6786041, 72.9513216 33.6785327, 72.9513645 33.6781756, 72.9522014 33.678122, 72.9520404 33.6786756, 72.9518044 33.6791755, 72.9521155 33.6794612, 72.95277 33.6796487, 72.9528236 33.6789434, 72.9531455 33.6787024, 72.9535425 33.6784345, 72.9542076 33.6786041, 72.9559886 33.6779702, 72.9559135 33.6771131, 72.9557526 33.6769881, 72.9558062 33.6763632, 72.9550445 33.6760685, 72.9552162 33.6752382, 72.9543149 33.6735418, 72.9528773 33.6738275, 72.9530597 33.6742025, 72.9535746 33.674256, 72.9541004 33.6748185, 72.9537141 33.6753364, 72.9529095 33.6751043, 72.9512465 33.6734078, 72.9507637 33.6731668, 72.9511607 33.6729078, 72.9507315 33.6722024, 72.9489827 33.6725685, 72.9487252 33.6732203, 72.9484892 33.6730596, 72.9488647 33.6717828, 72.9506779 33.670381, 72.9504847 33.669497, 72.9509675 33.6691041, 72.9517615 33.6692291, 72.9522014 33.6690237, 72.9519761 33.6681933, 72.9536927 33.6670861, 72.9537141 33.6661039, 72.9531455 33.6654342, 72.9525447 33.6653359, 72.9499805 33.6686755, 72.9476567 33.6716796, 72.9462576 33.6734882, 72.9454958 33.6739346, 72.9448414 33.674794))"
residential,"POLYGON ((73.0223616 33.6419445, 73.0195897 33.6405051, 73.0188475 33.6401756, 73.0219689 33.6360009, 73.0251416 33.6357667, 73.0249728 33.6369224, 73.0247314 33.6383056, 73.0246172 33.6389906, 73.0242126 33.6396301, 73.0223616 33.6419445))"
retail,"POLYGON ((73.0163693 33.6371167, 73.0176023 33.6377723, 73.0194051 33.6369615, 73.0195191 33.6364008, 73.0176126 33.6353828, 73.0163693 33.6371167))"
residential,"POLYGON ((73.0136756 33.6346573, 73.0156998 33.6357493, 73.0159199 33.6354953, 73.0169526 33.6360203, 73.0181623 33.6343837, 73.0168662 33.6337435, 73.0170067 33.6335664, 73.0160148 33.6330624, 73.0152828 33.6340298, 73.0144543 33.6336036, 73.0136756 33.6346573))"
industrial,"POLYGON ((73.0235115 33.6325058, 73.0245527 33.6330575, 73.0252195 33.63237, 73.0240694 33.6317697, 73.0240175 33.6317058, 73.0235115 33.6325058))"
grass,"POLYGON ((73.0731344 33.717304, 73.0732638 33.7170934, 73.0748301 33.717877, 73.0753173 33.7181984, 73.0752298 33.7183535, 73.0743524 33.7179546, 73.0736178 33.7175604, 73.0731344 33.717304))"
residential,"POLYGON ((73.0098148 33.6823207, 73.0099487 33.682125, 73.0100676 33.6821801, 73.0099325 33.682378, 73.0098148 33.6823207))"
industrial,"POLYGON ((73.1323376 33.5293178, 73.1323792 33.5293737, 73.1325388 33.5292865, 73.1324932 33.5292317, 73.1324141 33.5292753, 73.1323779 33.5292943, 73.1323376 33.5293178))"
grass,"POLYGON ((73.0754236 33.7184472, 73.0755157 33.7183251, 73.0792169 33.720154, 73.0790125 33.7203958, 73.0771475 33.7194119, 73.0759042 33.7187393, 73.0754955 33.7185047, 73.0754236 33.7184472))"
grass,"POLYGON ((73.0791538 33.7204795, 73.0793551 33.7202357, 73.0819469 33.7215691, 73.0819222 33.7216484, 73.0826072 33.7219773, 73.082646 33.7219391, 73.0827648 33.7219975, 73.0827007 33.7220796, 73.0826518 33.7221061, 73.0825091 33.722146, 73.0823804 33.7221647, 73.0823399 33.722153, 73.080771 33.7212989, 73.0805027 33.7211726, 73.0804391 33.7210933, 73.0800578 33.7208995, 73.0799165 33.720876, 73.0792739 33.7205382, 73.0791538 33.7204795))"
forest,"POLYGON ((73.0798402 33.7348879, 73.0801865 33.7343831, 73.0804347 33.7346626, 73.0807132 33.7350193, 73.0809088 33.7349129, 73.081127 33.7348628, 73.0813378 33.7348253, 73.0816162 33.7348628, 73.0815635 33.7350068, 73.0821279 33.7353197, 73.0830234 33.7342308, 73.0832563 33.7338236, 73.0832646 33.7344359, 73.0820899 33.7361926, 73.0819783 33.7362046, 73.0817839 33.7363148, 73.0818402 33.7364085, 73.08157 33.7364197, 73.0814071 33.7363407, 73.081318 33.736352, 73.0812583 33.7364214, 73.0810647 33.7364131, 73.0809291 33.7363441, 73.0807282 33.7361094, 73.080497 33.7358675, 73.0804 33.7358159, 73.0807459 33.7353121, 73.0798402 33.7348879))"
grass,"POLYGON ((73.0828911 33.722431, 73.0830696 33.7222105, 73.0893102 33.7254291, 73.0890932 33.7257173, 73.0844921 33.7232792, 73.0828911 33.722431))"
residential,"POLYGON ((73.1844065 33.5200368, 73.1846661 33.519854, 73.1847404 33.5198016, 73.1853058 33.5194035, 73.1853583 33.519243, 73.1853561 33.5192358, 73.1853001 33.5189631, 73.1852556 33.5187469, 73.1850665 33.5181433, 73.1850601 33.5181228, 73.1850511 33.5180694, 73.1850408 33.5180083, 73.1850003 33.5177869, 73.184952 33.5174827, 73.1849281 33.5173999, 73.1848813 33.517238, 73.1844977 33.5173196, 73.1840465 33.5174496, 73.1839865 33.5174669, 73.1834416 33.5175797, 73.1830657 33.5176048, 73.1829868 33.5176142, 73.1827087 33.5178178, 73.1827125 33.518056, 73.182829 33.5184414, 73.1829267 33.5186607, 73.1830169 33.5186576, 73.1830314 33.5186798, 73.183013 33.518806, 73.183077 33.5189082, 73.1835355 33.5192748, 73.1840128 33.5196822, 73.1844065 33.5200368))"
residential,"POLYGON ((73.1848125 33.5209022, 73.1848125 33.5207097, 73.1847492 33.5204833, 73.1845364 33.5201399, 73.1851203 33.5197474, 73.1852743 33.5196606, 73.1855006 33.519653, 73.1857269 33.5196832, 73.1858989 33.5197323, 73.1861569 33.5196493, 73.1862701 33.5193964, 73.1863606 33.5192983, 73.1864874 33.5192153, 73.1867047 33.5191587, 73.1869083 33.5191587, 73.1872026 33.519204, 73.1874334 33.519336, 73.187524 33.5194568, 73.1875738 33.5195927, 73.1875873 33.5200568, 73.1875783 33.5202908, 73.1875466 33.5204833, 73.1874561 33.5206871, 73.1873384 33.5208569, 73.1871799 33.5210267, 73.186811 33.5213777, 73.1866028 33.5215663, 73.1864761 33.5216362, 73.1863742 33.521672, 73.186295 33.5216777, 73.1861547 33.5216852, 73.1860121 33.5216475, 73.1858333 33.5215475, 73.1857473 33.5214965, 73.1855866 33.5214248, 73.1854327 33.521406, 73.1852267 33.5213927, 73.1850389 33.5213871, 73.1848374 33.5214173, 73.1847107 33.5214456, 73.184808 33.5211909, 73.1848216 33.5211041, 73.1848125 33.5209022))"
residential,"POLYGON ((73.1854006 33.5195922, 73.1854324 33.519241, 73.1854289 33.5190846, 73.185397 33.5189106, 73.1852979 33.5186066, 73.1856059 33.5185211, 73.1855429 33.5183359, 73.185464 33.5181036, 73.1854183 33.5179693, 73.1850408 33.5180083, 73.1850003 33.5177869, 73.1852685 33.517769, 73.1852571 33.5177145, 73.1852309 33.5175901, 73.1853919 33.5175409, 73.1855206 33.5175498, 73.1856172 33.5174649, 73.1859176 33.5174425, 73.1859712 33.5177913, 73.1859704 33.5178837, 73.1861509 33.5180165, 73.1865791 33.5179663, 73.1867703 33.517869, 73.1872657 33.5176064, 73.1874427 33.5175503, 73.1878037 33.5176241, 73.1879063 33.5177037, 73.1880798 33.5178601, 73.1881789 33.5179486, 73.1881859 33.518049, 73.1882368 33.5180949, 73.1882736 33.5181356, 73.188331 33.5181994, 73.1884408 33.5182142, 73.1886637 33.5184148, 73.1887699 33.5185211, 73.1888336 33.5186775, 73.1888513 33.5188132, 73.1888036 33.5189909, 73.1886673 33.5190669, 73.1884655 33.519182, 73.1880904 33.5193886, 73.1879523 33.5194505, 73.1878568 33.5194653, 73.1877294 33.5194682, 73.187524 33.5194568, 73.1874334 33.519336, 73.1872026 33.519204, 73.1869083 33.5191587, 73.1867047 33.5191587, 73.1864874 33.5192153, 73.1863606 33.5192983, 73.1862701 33.5193964, 73.1861569 33.5196493, 73.1858973 33.5196551, 73.1854006 33.5195922))"
residential,"POLYGON ((73.1849025 33.5217185, 73.1846902 33.5218041, 73.1845097 33.5218956, 73.1843363 33.5220697, 73.1841664 33.5222821, 73.1840779 33.5224945, 73.1840602 33.5226804, 73.1840921 33.5228811, 73.1842442 33.5231318, 73.1843716 33.5233384, 73.1845182 33.5236269, 73.1846537 33.5238149, 73.184718 33.5240027, 73.1848146 33.5241805, 73.1849527 33.5244298, 73.1851137 33.5246053, 73.1854047 33.5247607, 73.1853189 33.5244399, 73.1854865 33.52428, 73.1858535 33.5239516, 73.1861713 33.5236419, 73.1864145 33.5232722, 73.1864982 33.5229535, 73.1865137 33.5228755, 73.1865413 33.5227519, 73.1865634 33.5225281, 73.1866467 33.5221696, 73.1866076 33.522034, 73.1865329 33.5218976, 73.1864721 33.5218441, 73.1862936 33.5217316, 73.1861547 33.5216852, 73.1860121 33.5216475, 73.1858333 33.5215475, 73.1857473 33.5214965, 73.1855866 33.5214248, 73.1854327 33.521406, 73.1852267 33.5213927, 73.1850389 33.5213871, 73.1848374 33.5214173, 73.1847107 33.5214456, 73.1846743 33.5215178, 73.1849025 33.5217185))"
military,"POLYGON ((73.1957472 33.500229, 73.1960974 33.499463, 73.1969593 33.4998631, 73.1975204 33.4977273, 73.197 33.4976798, 73.1970813 33.4965339, 73.1983497 33.4960728, 73.200992 33.4948369, 73.2012992 33.4950728, 73.2010054 33.4962218, 73.2008977 33.4986704, 73.200769 33.4990266, 73.2007278 33.4991407, 73.2003767 33.5007117, 73.2003484 33.5008384, 73.1989545 33.5005676, 73.1988056 33.5005111, 73.1984876 33.5004096, 73.198247 33.5005317, 73.198077 33.5006207, 73.1977905 33.5007877, 73.1972699 33.5010429, 73.1969956 33.5008835, 73.1957472 33.500229))"
industrial,"POLYGON ((73.2423802 33.5243155, 73.2584091 33.5228666, 73.2590313 33.5173389, 73.26122 33.510952, 73.2609196 33.5099859, 73.250562 33.5056076, 73.2493455 33.5053418, 73.2487005 33.5105065, 73.2460924 33.5107373, 73.2451697 33.5100038, 73.244526 33.5095565, 73.2435389 33.509646, 73.241951 33.5105942, 73.2392474 33.5101469, 73.2351704 33.5084472, 73.2327242 33.5087872, 73.2329603 33.5095923, 73.2337113 33.5098785, 73.2335786 33.5104593, 73.2334538 33.5110057, 73.2323447 33.5115086, 73.2322307 33.5115603, 73.230836 33.5124727, 73.2309288 33.512749, 73.2306428 33.5134746, 73.2304283 33.5144586, 73.2298275 33.51521, 73.2290764 33.5161402, 73.2284542 33.5165338, 73.2262655 33.515854, 73.2253857 33.5162476, 73.2252155 33.5167375, 73.2332079 33.5233614, 73.2346084 33.5239763, 73.2357069 33.5244586, 73.2423802 33.5243155))"
construction,"POLYGON ((73.1828108 33.5325019, 73.1829858 33.5340191, 73.1830709 33.5341138, 73.1830804 33.5364204, 73.1830654 33.5374701, 73.1814551 33.5371984, 73.1813076 33.5366775, 73.1812182 33.5365481, 73.1813294 33.5356353, 73.1813105 33.5345589, 73.1811993 33.5334667, 73.181126 33.5330625, 73.1813388 33.5328752, 73.1813246 33.5325105, 73.1822069 33.5324986, 73.1826193 33.5325009, 73.1828108 33.5325019))"
residential,"POLYGON ((72.9886684 33.6825225, 72.988006 33.6807647, 72.9890437 33.6805626, 72.9900897 33.6809601, 72.9899868 33.6812239, 72.9899167 33.6813027, 72.9899676 33.6814571, 72.9899868 33.6815152, 72.9903014 33.6817571, 72.9906037 33.6818509, 72.9906853 33.6818711, 72.9907684 33.6822014, 72.9886684 33.6825225))"
residential,"POLYGON ((72.9910215 33.6821813, 72.9908991 33.6817666, 72.9910765 33.681684, 72.9912303 33.68156, 72.9912965 33.6814006, 72.991559 33.6813474, 72.9923419 33.6811506, 72.9925879 33.681865, 72.9910215 33.6821813))"
residential,"POLYGON ((72.9857273 33.6823028, 72.9864685 33.6821194, 72.9863409 33.6816825, 72.9865324 33.6816397, 72.9862935 33.6808567, 72.9853011 33.6815729, 72.9855441 33.6819464, 72.9857273 33.6823028))"
forest,"POLYGON ((73.001916 33.6810496, 73.0019733 33.6810316, 73.0021284 33.6809364, 73.0023014 33.6807226, 73.0025417 33.6803734, 73.0025455 33.6802337, 73.0023993 33.6801046, 73.0014773 33.6796168, 72.9937227 33.6755198, 72.9936392 33.675527, 72.9930376 33.6763345, 72.9930326 33.6763738, 72.9930787 33.6764143, 72.9956994 33.6778116, 72.9986366 33.6793369, 73.0010246 33.6806077, 73.0016835 33.6809349, 73.001916 33.6810496))"
forest,"POLYGON ((72.9929235 33.6763284, 72.9932736 33.67584, 72.9935447 33.675462, 72.9935224 33.6754044, 72.9854378 33.6711428, 72.9853544 33.6711501, 72.9847528 33.6719576, 72.9847478 33.6719969, 72.9847939 33.6720374, 72.9874145 33.6734348, 72.9903517 33.6749601, 72.9927398 33.676231, 72.9929235 33.6763284))"
forest,"POLYGON ((73.0025878 33.6814216, 73.0024921 33.6812622, 73.0024874 33.6810446, 73.0026462 33.6808484, 73.0028517 33.6806268, 73.0029404 33.6805744, 73.0030572 33.6805686, 73.0031903 33.6805802, 73.0033794 33.680623, 73.0034728 33.6806735, 73.007531 33.6827855, 73.0075427 33.6828205, 73.0069356 33.6835899, 73.0068796 33.683623, 73.0068072 33.6836307, 73.006639 33.6835647, 73.0038534 33.6820938, 73.0031412 33.6817169, 73.0025878 33.6814216))"
forest,"POLYGON ((73.0179357 33.6894745, 73.018102 33.6895216, 73.0183179 33.6894362, 73.0186701 33.6891535, 73.018732 33.6887898, 73.0186506 33.6886558, 73.0184914 33.6885336, 73.018102 33.6883304, 73.0128006 33.6855621, 73.0126933 33.6858835, 73.0123795 33.6857965, 73.0123929 33.6855398, 73.0124465 33.6853836, 73.0076324 33.6828377, 73.0069766 33.6836378, 73.0069739 33.683707, 73.0070101 33.683774, 73.007104 33.6838275, 73.0112724 33.6859787, 73.0142418 33.6875365, 73.0170192 33.6889989, 73.0179357 33.6894745))"
retail,"POLYGON ((73.0104437 33.6803828, 73.0097823 33.6812706, 73.0089536 33.680843, 73.0096891 33.6800425, 73.0104437 33.6803828))"
forest,"POLYGON ((73.0384085 33.7003023, 73.0377723 33.6999885, 73.037472 33.6998005, 73.0373871 33.6996608, 73.0376686 33.6992029, 73.0380465 33.6987885, 73.0383251 33.6989379, 73.0425542 33.7011438, 73.0460797 33.7030201, 73.0462179 33.7032839, 73.0461854 33.7033583, 73.0455247 33.7041433, 73.0439041 33.7032898, 73.0419427 33.702236, 73.039889 33.7010562, 73.0389924 33.7005915, 73.0384085 33.7003023))"
forest,"POLYGON ((73.02355 33.698215, 73.0244797 33.6968749, 73.0262113 33.6946212, 73.0355603 33.6997142, 73.0353223 33.7000406, 73.0349199 33.6998534, 73.0344296 33.700557, 73.0334533 33.7001465, 73.0331529 33.7005213, 73.0333567 33.7008605, 73.0329598 33.7013961, 73.0339683 33.7018781, 73.030814 33.7064122, 73.0302024 33.705716, 73.02943 33.7041452, 73.0286253 33.7027885, 73.028518 33.7034758, 73.026855 33.7040202, 73.0271018 33.7033419, 73.0270911 33.7027082, 73.0265439 33.7015389, 73.0261255 33.7012979, 73.0246127 33.7013068, 73.0241429 33.7015598, 73.0234111 33.702244, 73.0234326 33.7025743, 73.0235398 33.7027796, 73.0233682 33.7028688, 73.0230678 33.7027706, 73.0222631 33.7026903, 73.0220163 33.7031009, 73.0221558 33.7033776, 73.0218876 33.7035204, 73.0208684 33.7035561, 73.0207718 33.7038238, 73.0210507 33.7042344, 73.0204821 33.7044219, 73.0199779 33.7048056, 73.0196882 33.7047164, 73.0195508 33.7047765, 73.0194843 33.7048056, 73.0186368 33.7046896, 73.0184436 33.704279, 73.0183042 33.7041362, 73.0181969 33.7039845, 73.0176068 33.7038774, 73.0170918 33.7041362, 73.0170704 33.7043862, 73.017006 33.7046807, 73.0162978 33.7059507, 73.0147848 33.7050338, 73.0145507 33.7038145, 73.0151612 33.7018962, 73.0157998 33.7013091, 73.0172286 33.7004826, 73.0199313 33.699421, 73.0207534 33.6994158, 73.021152 33.6989328, 73.0218571 33.6988748, 73.022764 33.6988997, 73.02355 33.698215))"
construction,"POLYGON ((73.1785252 33.5385684, 73.1801393 33.5385305, 73.1806062 33.538219, 73.180986 33.5365125, 73.1810431 33.5347797, 73.1809332 33.5336179, 73.1808076 33.5334784, 73.1798594 33.5335602, 73.17909 33.5336626, 73.1793321 33.5343642, 73.1792627 33.5349264, 73.1792463 33.5353523, 73.1792259 33.5358599, 73.1787756 33.5377048, 73.1785252 33.5385684))"
forest,"POLYGON ((73.015392 33.6959884, 73.0143612 33.6954258, 73.0085085 33.7033712, 73.0130061 33.7057493, 73.0130388 33.7054036, 73.0108439 33.7042342, 73.0102625 33.7037369, 73.010209 33.7033636, 73.0108688 33.7024353, 73.0109654 33.7021408, 73.0109332 33.7019221, 73.015392 33.6959884))"
grass,"POLYGON ((73.0541857 33.7074483, 73.0544742 33.7075774, 73.0590175 33.7016368, 73.0590661 33.70152, 73.0589932 33.7014166, 73.0588203 33.7013784, 73.0586718 33.7014234, 73.0584827 33.7015627, 73.0584125 33.7016211, 73.0556873 33.7052791, 73.0556036 33.7055397, 73.0554416 33.7057869, 73.0552552 33.7059059, 73.0542883 33.70729, 73.0541857 33.7074483))"
grass,"POLYGON ((73.0628391 33.6964901, 73.0640101 33.6949202, 73.0666948 33.6913208, 73.0658534 33.6915162, 73.0649052 33.6913648, 73.0643741 33.6913989, 73.0634172 33.6919882, 73.062454 33.6921583, 73.0620504 33.6924411, 73.0622496 33.6928388, 73.062311 33.6933395, 73.0622823 33.6938913, 73.0623273 33.6944363, 73.0626344 33.6954138, 73.0628391 33.6960166, 73.0628677 33.6963266, 73.0628391 33.6964901))"
